timestamp,wind_speed_10m,wind_speed_100m,wind_gusts,wind_direction
2024-05-13 07:00:00,9.5,13.6,20.9,68
2024-05-13 08:00:00,9.4,13.4,22.7,76
2024-05-13 09:00:00,11.6,16.3,25.2,85
2024-05-13 10:00:00,12.7,17.2,28.8,80
2024-05-13 11:00:00,11.7,15.7,29.2,99
2024-05-13 12:00:00,10.0,13.3,28.1,109
2024-05-13 13:00:00,11.7,15.7,28.1,106
2024-05-13 14:00:00,10.7,14.3,28.8,118
2024-05-13 15:00:00,11.6,15.5,28.1,115
2024-05-13 16:00:00,11.8,16.7,27.4,109
2024-05-13 17:00:00,11.9,17.3,27.7,91
2024-05-13 18:00:00,11.9,18.0,29.9,89
2024-05-13 19:00:00,9.4,15.1,27.0,87
2024-05-13 20:00:00,8.3,14.2,20.5,81
2024-05-13 21:00:00,5.0,9.8,17.6,73
2024-05-13 22:00:00,4.1,7.9,10.8,60
2024-05-13 23:00:00,5.4,9.8,10.8,62
2024-05-14 00:00:00,6.4,12.8,13.7,68
2024-05-14 01:00:00,8.4,16.9,18.4,61
2024-05-14 02:00:00,8.3,16.1,19.1,63
2024-05-14 03:00:00,8.5,14.7,18.0,62
2024-05-14 04:00:00,8.6,14.7,17.6,62
2024-05-14 05:00:00,9.3,16.7,20.2,65
2024-05-14 06:00:00,10.4,18.4,21.6,67
2024-05-14 07:00:00,11.3,16.5,24.8,80
2024-05-14 08:00:00,13.0,18.0,29.2,90
2024-05-14 09:00:00,14.3,20.2,33.1,101
2024-05-14 10:00:00,16.1,22.6,37.1,112
2024-05-14 11:00:00,17.1,23.7,44.6,100
2024-05-14 12:00:00,19.1,27.1,46.8,101
2024-05-14 13:00:00,15.6,23.6,37.8,82
2024-05-14 14:00:00,16.3,23.9,38.5,85
2024-05-14 15:00:00,18.0,26.4,40.7,85
2024-05-14 16:00:00,15.9,24.5,42.8,87
2024-05-14 17:00:00,16.6,25.3,43.9,84
2024-05-14 18:00:00,16.2,25.3,45.0,79
2024-05-14 19:00:00,16.0,26.0,36.0,80
2024-05-14 20:00:00,13.6,23.9,33.1,84
2024-05-14 21:00:00,12.8,24.5,29.2,86
2024-05-14 22:00:00,11.8,22.0,27.0,86
2024-05-14 23:00:00,10.7,19.3,24.1,81
2024-05-15 00:00:00,7.9,15.7,22.0,74
2024-05-15 01:00:00,8.0,14.5,18.0,76
2024-05-15 02:00:00,7.5,13.7,17.6,67
2024-05-15 03:00:00,7.9,13.2,17.6,68
2024-05-15 04:00:00,6.6,12.7,17.3,75
2024-05-15 05:00:00,7.5,13.0,16.9,84
2024-05-15 06:00:00,7.6,10.8,18.4,86
2024-05-15 07:00:00,6.3,8.9,18.0,76
2024-05-15 08:00:00,7.9,10.6,19.4,80
2024-05-15 09:00:00,9.1,11.9,22.7,85
2024-05-15 10:00:00,10.9,14.4,26.6,93
2024-05-15 11:00:00,13.1,17.7,31.7,110
2024-05-15 12:00:00,13.7,18.4,32.8,113
2024-05-15 13:00:00,12.2,15.8,29.9,114
2024-05-15 14:00:00,13.0,17.3,31.7,113
2024-05-15 15:00:00,12.9,17.2,31.3,100
2024-05-15 16:00:00,13.7,18.4,32.8,91
2024-05-15 17:00:00,14.0,19.8,32.8,100
2024-05-15 18:00:00,13.8,19.7,32.8,98
2024-05-15 19:00:00,11.8,17.2,31.3,101
2024-05-15 20:00:00,6.9,12.4,26.6,98
2024-05-15 21:00:00,5.4,11.5,16.6,94
2024-05-15 22:00:00,5.8,10.5,13.7,82
2024-05-15 23:00:00,6.6,11.3,15.8,81
2024-05-16 00:00:00,6.8,10.1,15.8,73
2024-05-16 01:00:00,5.6,9.5,13.3,61
2024-05-16 02:00:00,6.2,9.8,13.7,62
2024-05-16 03:00:00,6.6,10.2,15.5,67
2024-05-16 04:00:00,5.7,8.8,15.5,55
2024-05-16 05:00:00,5.8,8.3,13.7,34
2024-05-16 06:00:00,4.6,6.6,13.7,41
2024-05-16 07:00:00,6.1,9.2,16.2,42
2024-05-16 08:00:00,6.1,8.7,16.9,42
2024-05-16 09:00:00,6.7,8.9,18.7,50
2024-05-16 10:00:00,9.1,12.1,24.1,78
2024-05-16 11:00:00,13.8,18.6,32.0,81
2024-05-16 12:00:00,14.2,19.4,37.1,80
2024-05-16 13:00:00,15.5,21.1,43.9,82
2024-05-16 14:00:00,15.5,21.3,41.4,88
2024-05-16 15:00:00,15.5,21.2,38.2,89
2024-05-16 16:00:00,15.5,21.3,36.7,88
2024-05-16 17:00:00,14.4,20.6,36.0,85
2024-05-16 18:00:00,12.8,18.9,33.5,77
2024-05-16 19:00:00,11.4,17.5,29.5,71
2024-05-16 20:00:00,8.8,18.0,25.2,61
2024-05-16 21:00:00,7.4,18.7,20.9,56
2024-05-16 22:00:00,8.1,20.9,20.5,61
2024-05-16 23:00:00,8.7,22.1,21.2,60
2024-05-17 00:00:00,9.2,23.0,21.6,58
2024-05-17 01:00:00,8.9,22.3,20.9,52
2024-05-17 02:00:00,7.9,20.6,20.5,47
2024-05-17 03:00:00,7.6,18.9,19.1,42
2024-05-17 04:00:00,7.6,18.8,18.4,45
2024-05-17 05:00:00,9.3,20.6,21.2,47
2024-05-17 06:00:00,10.6,21.4,24.8,44
2024-05-17 07:00:00,12.5,20.4,29.2,45
2024-05-17 08:00:00,12.8,18.2,31.3,52
2024-05-17 09:00:00,12.6,17.6,31.3,62
2024-05-17 10:00:00,12.3,17.0,31.0,73
2024-05-17 11:00:00,13.0,17.3,32.0,88
2024-05-17 12:00:00,13.0,18.0,33.1,92
2024-05-17 13:00:00,15.5,21.6,40.0,75
2024-05-17 14:00:00,14.9,20.1,37.1,81
2024-05-17 15:00:00,14.1,19.6,36.4,84
2024-05-17 16:00:00,11.2,15.5,35.3,87
2024-05-17 17:00:00,9.7,13.0,29.2,88
2024-05-17 18:00:00,8.8,12.0,23.8,106
2024-05-17 19:00:00,5.8,7.9,20.9,90
2024-05-17 20:00:00,4.3,6.8,13.7,87
2024-05-17 21:00:00,1.4,4.2,8.6,70
2024-05-17 22:00:00,2.6,5.4,6.1,94
2024-05-17 23:00:00,1.8,4.7,6.5,81
2024-05-18 00:00:00,2.9,5.6,7.2,15
2024-05-18 01:00:00,3.3,4.7,8.3,4
2024-05-18 02:00:00,4.8,4.7,11.2,360
2024-05-18 03:00:00,6.1,5.8,13.3,353
2024-05-18 04:00:00,6.1,5.1,14.0,352
2024-05-18 05:00:00,6.1,4.7,13.7,360
2024-05-18 06:00:00,3.4,3.7,13.0,29
2024-05-18 07:00:00,1.9,3.1,9.4,45
2024-05-18 08:00:00,3.0,3.9,13.0,56
2024-05-18 09:00:00,4.7,5.5,16.2,101
2024-05-18 10:00:00,6.0,6.9,19.1,118
2024-05-18 11:00:00,6.7,8.4,20.9,121
2024-05-18 12:00:00,6.9,8.5,23.4,126
2024-05-18 13:00:00,7.0,8.4,20.5,110
2024-05-18 14:00:00,8.1,10.2,22.3,122
2024-05-18 15:00:00,8.1,10.8,22.0,116
2024-05-18 16:00:00,8.4,11.3,22.0,99
2024-05-18 17:00:00,9.2,12.3,21.2,111
2024-05-18 18:00:00,8.7,11.9,23.0,115
2024-05-18 19:00:00,5.6,7.6,19.1,115
2024-05-18 20:00:00,5.4,8.4,13.7,97
2024-05-18 21:00:00,3.4,6.6,12.6,99
2024-05-18 22:00:00,2.3,3.3,7.2,103
2024-05-18 23:00:00,2.3,2.3,5.4,129
2024-05-19 00:00:00,1.5,1.0,6.8,135
2024-05-19 01:00:00,1.1,0.7,2.9,90
2024-05-19 02:00:00,1.1,0.5,4.7,135
2024-05-19 03:00:00,1.4,1.6,5.8,297
2024-05-19 04:00:00,1.3,2.6,6.1,326
2024-05-19 05:00:00,1.1,2.6,5.8,326
2024-05-19 06:00:00,2.2,1.3,7.9,236
2024-05-19 07:00:00,2.1,1.9,10.4,158
2024-05-19 08:00:00,3.3,3.8,13.0,131
2024-05-19 09:00:00,5.6,6.6,16.6,139
2024-05-19 10:00:00,7.4,9.3,20.2,144
2024-05-19 11:00:00,7.6,9.4,20.9,137
2024-05-19 12:00:00,8.2,10.5,23.0,142
2024-05-19 13:00:00,7.1,9.2,20.9,121
2024-05-19 14:00:00,8.0,10.3,20.5,126
2024-05-19 15:00:00,7.8,9.8,21.2,126
2024-05-19 16:00:00,10.7,13.9,25.2,111
2024-05-19 17:00:00,9.7,13.0,25.9,104
2024-05-19 18:00:00,9.7,12.9,22.7,108
2024-05-19 19:00:00,10.2,14.8,23.8,113
2024-05-19 20:00:00,8.8,12.7,22.7,98
2024-05-19 21:00:00,7.0,10.5,19.1,98
2024-05-19 22:00:00,6.2,9.4,16.2,92
2024-05-19 23:00:00,5.2,7.9,14.8,93
2024-05-20 00:00:00,4.8,7.2,13.0,96
2024-05-20 01:00:00,5.0,7.2,12.6,84
2024-05-20 02:00:00,5.0,7.2,12.6,87
2024-05-20 03:00:00,4.7,6.5,12.2,93
2024-05-20 04:00:00,5.2,7.3,11.9,99
2024-05-20 05:00:00,6.6,9.2,15.1,101
2024-05-20 06:00:00,7.4,10.0,17.3,105
2024-05-20 07:00:00,7.5,10.0,18.4,105
2024-05-20 08:00:00,7.6,10.0,19.1,105
2024-05-20 09:00:00,8.3,10.8,20.9,105
2024-05-20 10:00:00,8.3,10.4,21.6,104
2024-05-20 11:00:00,8.3,10.4,22.0,104
2024-05-20 12:00:00,8.8,11.3,23.4,97
2024-05-20 13:00:00,8.3,10.4,23.0,88
2024-05-20 14:00:00,7.2,9.0,22.3,88
2024-05-20 15:00:00,7.3,9.0,20.9,95
2024-05-20 16:00:00,8.3,10.7,22.0,104
2024-05-20 17:00:00,9.3,12.4,23.4,116
2024-05-20 18:00:00,10.3,14.2,24.1,126
2024-05-20 19:00:00,9.5,14.5,24.1,113
2024-05-20 20:00:00,3.7,10.2,20.9,100
